time_EXP PISTON_MOTION WG1_EXP WG2_EXP WG3_EXP
0	0	0	0	0
0.025	0	0	0	0
0.05	0	0	0	0
0.075	0	0	0	0
0.1	0	0	0	0
0.125	0	0	0	0
0.15	0	0	0	0
0.175	0	0	0	0
0.2	0	0	0	0
0.225	0	0	0	0
0.25	0	0	0	0
0.275	0	0	0	0
0.3	0	0	0	0
0.325	0	0	0	0
0.35	0	0	0	0
0.375	0	0	0	0
0.4	0	0	0	0
0.425	0	0	0	0
0.45	0	0	0	0
0.475	0	0	0	0
0.5	0	0	0	0
0.525	0	0	0	0
0.55	0	0	0	0
0.575	0	0	0	0
0.6	0	0	0	0
0.625	0	0	0	0
0.65	0	0	0	0
0.675	0	0	0	0
0.7	0	0	0	0
0.725	0	0	0	0
0.75	0	0	0	0
0.775	0	0	0	0
0.8	0	0	0	0
0.825	0	0	0	0
0.85	0	0	0	0
0.875	0	0	0	0
0.9	0	0	0	0
0.925	0.001	0	0	0
0.95	0.001	0	0	0
0.975	0.002	0	0	0
1	0.002	0	0	0
1.025	0.003	0	0	0
1.05	0.004	0.001	0	0
1.075	0.005	0.001	0	0
1.1	0.005	0.001	0	0
1.125	0.006	0.001	0	0
1.15	0.007	0.002	0	0
1.175	0.007	0.002	0	0
1.2	0.008	0.002	0	0
1.225	0.008	0.002	0	0
1.25	0.007	0.003	0	0
1.275	0.007	0.003	0	0
1.3	0.005	0.003	0	0
1.325	0.004	0.003	0	0
1.35	0.002	0.003	0	0
1.375	0.001	0.003	0	0
1.4	-0.002	0.003	0	0
1.425	-0.004	0.002	0	0
1.45	-0.006	0.002	0	0
1.475	-0.009	0.001	0	0
1.5	-0.011	0	0	0
1.525	-0.013	-0.001	0	0
1.55	-0.016	-0.002	0	0
1.575	-0.017	-0.004	0	0
1.6	-0.019	-0.005	0	0
1.625	-0.02	-0.007	0	0
1.65	-0.02	-0.008	0	0
1.675	-0.02	-0.01	0	0
1.7	-0.02	-0.011	0	0
1.725	-0.018	-0.013	0	0
1.75	-0.017	-0.014	0	0
1.775	-0.014	-0.014	0	0
1.8	-0.012	-0.015	0	0
1.825	-0.009	-0.015	0	0
1.85	-0.005	-0.014	0	0
1.875	-0.001	-0.013	0	0
1.9	0.003	-0.012	0	0
1.925	0.007	-0.01	0	0
1.95	0.011	-0.007	0	0
1.975	0.014	-0.004	0.001	0.001
2	0.018	0	0.001	0.001
2.025	0.02	0.005	0.001	0.001
2.05	0.023	0.009	0.001	0.001
2.075	0.025	0.014	0.001	0.001
2.1	0.026	0.019	0.001	0
2.125	0.026	0.024	0.001	0
2.15	0.026	0.028	0.001	0
2.175	0.025	0.031	0	0
2.2	0.024	0.033	0	0
2.225	0.022	0.034	0	0
2.25	0.019	0.033	0	0
2.275	0.016	0.031	0	0
2.3	0.013	0.027	0	0
2.325	0.009	0.022	0	0
2.35	0.005	0.016	-0.001	0
2.375	0.001	0.01	-0.001	0
2.4	-0.003	0.005	-0.001	0.001
2.425	-0.007	-0.001	-0.001	0.001
